"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Habitat";"Libellé Habitat";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
264559;"Champeaux_01/09/2016_14:17_AAMP_7216";264560;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";"02:17";245;;;"";
264561;"Champeaux_01/09/2016_14:47_AAMP_7217";264562;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";"02:47";290;;;"";
264563;"Champeaux_01/09/2016_15:17_AAMP_7218";264564;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";"03:17";291;;;"";
264707;"Perharidy_05/09/2016_15:40_Michaël Tanghe_8973";264708;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"03:40";0;;;"Promeneurs, joggeurs";
264813;"Boed_HRB_14/09/2016_11:15_MLP_10730";264814;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"11:15";0;;;"";
264845;"La Falaise_CDB_15/09/2016_10:25_LV_10956";264846;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"10:25";15;;;"";
264889;"Erquy_CDB_16/09/2016_NA_AAMP_7212";264890;"Golfe Normand Breton";"GONB_00C1_CDB";"Champs de blocs de l'îlot Saint-Michel (périmètre étendu)";;4;;;"";
264927;"Perharidy_16/09/2016_13:03_Michaël Tanghe_8976";264928;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:03";5;;;"";
265011;"Herbier_des_Haas_17/09/2016_NA_AAMP_7210";265012;"Golfe Normand Breton";"GONB_01C_HRB";"Les Haas (herbier)";;149;;;"";
265267;"Champeaux_18/09/2016_15:30_AAMP_7206";265268;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";"03:30";643;;;"";
265297;"Herbier_des_Haas_18/09/2016_NA_Saint_Jacut_Environnement_7203";265298;"Golfe Normand Breton";"GONB_01C_HRB";"Les Haas (herbier)";;113;;;"";
265359;"Perharidy_18/09/2016_13:30_Michaël Tanghe_8995";265360;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:30";40;35;5;"";
265451;"La Falaise_CDB_19/09/2016_13:00_LV_11039";265452;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"01:00";107;;;"";
265465;"Perharidy_19/09/2016_13:00_Michaël Tanghe_8999";265466;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:00";10;;;"";
265475;"SAINT-NICOLAS / BANNANEC_CDB_19/09/2016_12:33_MLR_11101";265476;"Finistère Sud";"FINS_12_CDB";"Saint-Nicolas des Glénan (champ de blocs)";"12:33";0;;;"";
265477;"SAINT-NICOLAS / BANNANEC_HRBHAB_19/09/2016_12:33_MLR_11123";265478;"Finistère Sud";"FINS_12_HRB";"Saint-Nicolas des Glénan (herbier)";"12:33";2;;;"";
265485;"Beg Lann_CDB_20/09/2016_13:41_LV_10904";265486;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"01:41";4;;;"";
265491;"Boed_HRB_20/09/2016_15:49_MLP_10731";265492;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"03:49";1;;;"";
265527;"La Falaise_CDB_22/09/2016_15:30_mlp_10957";265528;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"03:30";5;;;"";
265577;"Beg Lann_CDB_28/09/2016_09:30_mlp_10905";265578;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"09:30";0;;;"";
265581;"Boed_HRB_28/09/2016_11:35_MLP_10732";265582;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"11:35";2;;;"";
265595;"La Falaise_CDB_28/09/2016_09:22_mlp_10958";265596;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"09:22";3;;;"";
265607;"Boed_HRB_29/09/2016_12:15_MLP_10733";265608;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"12:15";0;;;"";
265615;"La Falaise_CDB_29/09/2016_09:23_mlp_10959";265616;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"09:23";4;;;"";
265627;"Beg Lann_CDB_30/09/2016_10:53_LV_10906";265628;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"10:53";4;;;"";
265631;"Boed_HRB_30/09/2016_13:05_MLP_10734";265632;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"01:05";1;;;"";
265669;"La Falaise_CDB_03/10/2016_12:40_mlp_10960";265670;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"12:40";3;;;"";
265677;"Perharidy_03/10/2016_14:50_Michaël Tanghe_9005";265678;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"02:50";4;;;"";
265685;"Beg Lann_CDB_04/10/2016_13:05_mlp_10907";265686;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"01:05";0;;;"";
265689;"Boed_HRB_04/10/2016_15:10_MLP_10735";265690;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"03:10";5;;;"";
265699;"La Falaise_CDB_04/10/2016_13:24_mlp_10961";265700;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"01:24";2;;;"";
265713;"Boed_HRB_05/10/2016_15:45_MLP_10736";265714;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"03:45";0;;;"";
265723;"La Falaise_CDB_05/10/2016_14:00_mlp_10962";265724;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"02:00";2;;;"";
265785;"Boed_HRB_13/10/2016_10:55_MLP_10737";265786;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"10:55";3;;;"";
265795;"La Falaise_CDB_13/10/2016_09:05_mlp_10963";265796;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"09:05";0;;;"";
265827;"La Falaise_CDB_14/10/2016_10:00_mlp_10964";265828;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"10:00";12;;;"";
265909;"Perharidy_15/10/2016_12:05_Orélie Rosec_9014";265910;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"12:05";12;8;4;"";
265933;"Boed_HRB_16/10/2016_13:13_MLP_10738";265934;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"01:13";10;;;"";
265939;"Erquy_CDB_16/10/2016_NA_AAMP_7214";265940;"Golfe Normand Breton";"GONB_00C1_CDB";"Champs de blocs de l'îlot Saint-Michel (périmètre étendu)";;7;;;"";
265949;"La Falaise_CDB_16/10/2016_10:50_NA_10965";265950;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"10:50";137;;;"";
265955;"Perharidy_16/10/2016_12:30_Michaël Tanghe_9025";265956;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"12:30";16;;;"";
266075;"La Falaise_CDB_17/10/2016_12:40_mlp_10966";266076;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"12:40";102;;;"";
266109;"SAINT-NICOLAS / BANNANEC_CDB_17/10/2016_11:56_HY - MLR_11102";266110;"Finistère Sud";"FINS_12_CDB";"Saint-Nicolas des Glénan (champ de blocs)";"11:56";2;;;"";
266131;"MOUSTERLIN_CDB_18/10/2016_12:15_HY_11103";266132;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";"12:15";2;;;"";
266137;"SAINT-NICOLAS / BANNANEC_CDB_18/10/2016_12:10_BF - BC_11104";266138;"Finistère Sud";"FINS_12_CDB";"Saint-Nicolas des Glénan (champ de blocs)";"12:10";3;;;"";
266173;"La Falaise_CDB_19/10/2016_13:27_mlp_10967";266174;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"01:27";15;;;"";
266191;"MOUSTERLIN_CDB_19/10/2016_13:10_HY - MLR_11105";266192;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";"01:10";2;;;"";
266197;"Perharidy_19/10/2016_13:30_Michaël Tanghe_9029";266198;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:30";9;7;2;"";
266243;"Boed_HRB_28/10/2016_11:53_LV_10739";266244;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"11:53";6;;;"";
266275;"La Falaise_CDB_31/10/2016_11:00_mlp_10968";266276;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"11:00";6;;;"";
266285;"Boed_HRB_02/11/2016_13:56_LV_10740";266286;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"01:56";5;;;"";
266291;"La Falaise_CDB_02/11/2016_12:00_mlp_10969";266292;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"12:00";0;;;"";
266303;"La Falaise_CDB_03/11/2016_12:43_mlp_10970";266304;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"12:43";0;;;"";
266333;"Boed_HRB_12/11/2016_10:15_LV_10741";266334;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"10:15";0;;;"";
266341;"La Falaise_CDB_12/11/2016_08:30_mlp_10971";266342;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"08:30";3;;;"";
266351;"La Falaise_CDB_13/11/2016_09:05_mlp_10972";266352;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"09:05";15;;;"";
266365;"La Falaise_CDB_14/11/2016_10:00_mlp_10973";266366;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"10:00";75;;;"";
266369;"MOUSTERLIN_CDB_14/11/2016_NA_HY - MLR_11106";266370;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";;2;;;"";
266507;"La Falaise_CDB_15/11/2016_10:31_mlp_10974";266508;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"10:31";65;;;"";
266523;"MOUSTERLIN_CDB_15/11/2016_11:10_HY_11107";266524;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";"11:10";0;;;"";
266527;"Perharidy_15/11/2016_11:15_Michaël Tanghe_9038";266528;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"11:15";7;;;"";
266545;"SAINT-NICOLAS / BANNANEC_CDB_15/11/2016_10:30_BF - MLG - DC - NJ_11108";266546;"Finistère Sud";"FINS_12_CDB";"Saint-Nicolas des Glénan (champ de blocs)";"10:30";2;;;"";
266561;"Boed_HRB_16/11/2016_13:25_LV_10742";266562;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"01:25";11;;;"";
266579;"MOUSTERLIN_CDB_16/11/2016_11:15_MLR_11109";266580;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";"11:15";0;;;"";
266583;"Perharidy_16/11/2016_12:00_Michaël Tanghe_9041";266584;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"12:00";0;;;"";
266595;"Beg Lann_CDB_17/11/2016_12:04_LV_10908";266596;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"12:04";3;;;"";
266599;"Boed_HRB_17/11/2016_14:12_LV_10743";266600;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"02:12";0;;;"";
266625;"Boed_HRB_29/11/2016_12:22_LV_10744";266626;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"12:22";20;;;"";
266629;"Boed_HRB_30/11/2016_12:45_LV_10745";266630;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"12:45";20;;;"";
266659;"Boed_HRB_11/12/2016_13:50_LV_10746";266660;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"01:50";17;;;"";
266665;"Boed_HRB_12/12/2016_12:12_LV_10747";266666;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"12:12";20;;;"";
266673;"La Falaise_CDB_12/12/2016_09:00_mlp_10975";266674;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"09:00";0;;;"";
266679;"Boed_HRB_13/12/2016_10:54_LV_10748";266680;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"10:54";2;;;"";
266687;"La Falaise_CDB_13/12/2016_09:50_mlp_10976";266688;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"09:50";34;;;"";
266693;"Boed_HRB_14/12/2016_12:28_LV_10749";266694;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"12:28";21;;;"";
266705;"MOUSTERLIN_CDB_14/12/2016_10:14_MLR_11110";266706;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";"10:14";3;;;"";
