"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
261213;"Pointe du Roux_21/05/2016_11:15_Loeiza Lancelot_3995";261214;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_074-075-076";"Aytre";"EGMP_074";"Pointe du Roux";"11:15";;0;;;"";
261217;"Besselue_22/05/2016_11:45_Loeiza Lancelot_3567";261218;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_072-073";"Besselue - Sud Minimes";"EGMP_073";"Besselue";"11:45";;0;;;"";
261225;"La Bree_22/05/2016_11:50_Marion Carsac_2610";261226;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_114";"La Brée et la Balise";"EGMP_114_1";"La Brée";"11:50";;15;;;"";
261233;"La Balise_23/05/2016_11:51_Adrien Privat, Eva Teggers_2508";261234;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_114";"La Brée et la Balise";"EGMP_114_2";"La Balise";"11:51";;10;;;"";
261235;"La Bree_23/05/2016_11:50_Adrien Privat, Eva Teggers_2611";261236;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_114";"La Brée et la Balise";"EGMP_114_1";"La Brée";"11:50";;9;;;"";
261237;"Lauzieres_23/05/2016_12:20_Loeiza Lancelot_3721";261238;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_031-032";"Nieul sur mer (Lauzières-Digolet)";"EGMP_032";"Lauzières";"12:20";;5;;;"";
261239;"Les Arros_23/05/2016_11:38_Joy_1743";261240;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_2";"Les Arros";"11:38";;2;2;0;"";
261243;"Les Cantines_23/05/2016_11:58_Joy_1841";261244;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_1";"Les Cantines";"11:58";;0;0;0;"";
261249;"Besselue_25/05/2016_13:35_Loeiza Lancelot_3568";261250;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_072-073";"Besselue - Sud Minimes";"EGMP_073";"Besselue";"01:35";;0;;;"";
261295;"Les Arros_26/05/2016_13:34_Joy_1744";261296;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_2";"Les Arros";"01:34";;0;0;0;"";
