"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
261797;"Pointe de la Fumee_10/06/2016_15:40_Coline Dumas_1012";261798;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_087";"Pointe de la Fumée";"03:40";7;7;0;5;0;;"Oui";1;"Concessions de cultures marines";"Conchyliculture";
261799;"Tourlion_10/06/2016_15:30_Coline Dumas_1138";261800;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_086";"Tourlion";"03:30";0;0;0;0;0;;;;;"";
261801;"Bourcefranc/ Marennes_11/06/2016_16:20_Jean-Baptiste Bonnin_2066";261802;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_098";"Bourcefranc/ Marennes";"04:20";71;;;71;0;;;;;"";
261803;"Bourcefranc/ Marennes_11/06/2016_16:30_Jean-Baptiste Bonnin_2065";261804;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_098";"Bourcefranc/ Marennes";"04:30";82;;;82;0;;;;;"";
261805;"Clemenceau_11/06/2016_16:11_Manon Charpentier_4259";261806;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_007";"Clémenceau";"04:11";7;4;3;;;;;;;"Sports de glisse (surf, body-board, kite surf, etc.) | Promeneurs, joggeurs | Autres pêches de loisir";
261807;"La Hume_11/06/2016_17:10_BB_10351";261808;"Bassin d'Arcachon";"BARC_07";"La Hume";"05:10";21;15;6;;;;;;;"Promeneurs, joggeurs";"à 15h42 -> 10 pêch conso (pal/vers) dont 2 sur HZ, les 21 pêcheurs  sont tous de nouveau arrivants par rapport au comptage de 15h42"
261809;"Manson_11/06/2016_16:00_Adrien Privat_3119";261810;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_140";"Manson";"04:00";65;;;65;0;;;;;"";
261811;"Rochers et port de Jard_11/06/2016_15:40_Manon Charpentier_4805";261812;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_005";"Rochers et port de Jard";"03:40";3;;;1;2;;;;;"Plagistes, baigneurs";
261819;"Pointes du Grouin du Cou et de la Republique_12/06/2016_16:55_Manon Charpentier_4661";261820;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_014-015";"Pointes du Grouin du Cou et de la République";"04:55";6;2;4;;;;;;;"Autres pêches de loisir";
261821;"CAP COZ_13/06/2016_17:56_HY_9769";261822;"Finistère Sud";"FINS_06";"Plage de Cap Coz";"05:56";1;;;1;0;;;;;"";"pêcheur aux vers"
261823;"ile Madame/ Estuaire de la Charente_13/06/2016_17:25_CIGOLOTTI Anne_4069";261824;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_092";"Ile Madame/ Estuaire de la Charente";"05:25";0;;;;;;;;;"Promeneurs, joggeurs";
261825;"ile Madame/ Les Palles_13/06/2016_17:20_CIGOLOTTI Anne_4098";261826;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_093";"ile Madame/ Les Palles";"05:20";1;;;;;;;;;"";
261827;"Ile Madame/ Verger_13/06/2016_17:16_CIGOLOTTI Anne_4127";261828;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_094";"Ile Madame/ Verger";"05:16";0;;;;;;;;;"Promeneurs, joggeurs";
261829;"KERLEVEN_13/06/2016_18:01_HY_9771";261830;"Finistère Sud";"FINS_23";"Kerleven";"06:01";3;;;3;0;;;;;"";
