"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2018-10-24-EGMP-SEN-007";"2018-10-24_EGMP_148_384925";;;;;;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-008";"2018-10-24_EGMP_148_384933";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-009";"2018-10-24_EGMP_148_384941";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-010";"2018-10-24_EGMP_148_384949";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-011";"2018-10-24_EGMP_148_384957";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-012";"2018-10-24_EGMP_148_384964";;;;;;;"Oui";"Commerce";"Réglette et assimilé (ecorègle, crabe toiseur…)";"Non";;;;;;;;;;;"";
"2018-07-13-GONB-SEN-164";"2018-07-13_GONB_05G_384971";;;"Bouquet";"Ne sait pas";;"Réponse incorrecte ou NSP";"Oui mais pas aujourd'hui";"Commerce";;"Non renseigné";"Bouquet";"Oui";5;"litre";"Réponse correcte";"Amande de mer";"Pas de période";;"Réponse incorrecte";;"Internet / Applications mobiles";
"2018-10-24-EGMP-SEN-013";"2018-10-24_EGMP_148_384972";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-014";"2018-10-24_EGMP_148_384978";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-015";"2018-10-24_EGMP_148_384984";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-016";"2018-10-24_EGMP_148_384990";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-017";"2018-10-24_EGMP_148_384996";;;;;;;"Oui";"Campagne de sensibilisation";;"Non";;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-018";"2018-10-24_EGMP_148_385004";;;;;;;"Oui";"Artisanal";"Artisanal";"Non";;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-019";"2018-10-24_EGMP_148_385010";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-020";"2018-10-24_EGMP_148_385016";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-021";"2018-10-24_EGMP_148_385022";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-022";"2018-10-24_EGMP_148_385028";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-009";"2018-10-25_EGMP_140_385040";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-011";"2018-10-25_EGMP_140_385046";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-012";"2018-10-25_EGMP_140_385052";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-013";"2018-10-25_EGMP_140_385058";;;;;;;"Oui mais pas aujourd'hui";;;"Non renseigné";;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-014";"2018-10-25_EGMP_140_385064";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-015";"2018-10-25_EGMP_140_385070";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-016";"2018-10-25_EGMP_140_385076";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-017";"2018-10-25_EGMP_140_385082";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-018";"2018-10-25_EGMP_140_385088";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-019";"2018-10-25_EGMP_140_385094";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-020";"2018-10-25_EGMP_140_385100";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-021";"2018-10-25_EGMP_140_385106";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-022";"2018-10-25_EGMP_140_385112";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-25-EGMP-SEN-023";"2018-10-25_EGMP_140_385118";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-002";"2018-10-26_EGMP_098_385124";;;;;;;"Oui";"Artisanal";"Artisanal";"Oui";;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-004";"2018-10-26_EGMP_098_385130";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-005";"2018-10-26_EGMP_098_385136";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-006";"2018-10-26_EGMP_098_385142";;;;;;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-007";"2018-10-26_EGMP_098_385148";;;;;;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-008";"2018-10-26_EGMP_098_385154";;;;;;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-009";"2018-10-26_EGMP_098_385160";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-010";"2018-10-26_EGMP_098_385166";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-26-EGMP-SEN-011";"2018-10-26_EGMP_098_385172";;;;;;;"Non";;;;;;;;;;;;;;"";
