departement;nom;commune;nom_reel;code_postal;num_INSEE;longitude;latitude
1;BOYEUX-SAINT-JEROME;boyeux saint jerome;Boyeux-Saint-Jérôme;1640;1056;5.46667;46.0333
1;CHATEAU-GAILLARD;chateau gaillard;Château-Gaillard;1500;1089;5.3;45.9667
1;PREMEYZEL;premeyzel;Prémeyzel;1300;1310;5.65;45.6833
1;ARANDAS;arandas;Arandas;1230;1013;5.48333;45.9
1;CHATENAY;chatenay;Châtenay;1320;1090;5.2;46.0333
1;INNIMOND;innimond;Innimond;1680;1190;5.56667;45.7833
1;BOZ;boz;Boz;1190;1057;4.9;46.4
1;BRIORD;briord;Briord;1470;1064;5.46667;45.7833
1;REYRIEUX;reyrieux;Reyrieux;1600;1322;4.81667;45.9333
1;MATAFELON-GRANGES;matafelon granges;Matafelon-Granges;1580;1240;5.56667;46.2667
1;DROM;drom;Drom;1250;1150;5.36667;46.2167
1;CHATILLON-EN-MICHAILLE;chatillon en michaille;Châtillon-en-Michaille;1200;1091;5.78333;46.1333
1;POLLIAT;polliat;Polliat;1310;1301;5.13333;46.25
1;VESANCY;vesancy;Vesancy;1170;1436;6.08333;46.35
1;MASSIEUX;massieux;Massieux;1600;1238;4.83333;45.9167
1;SAINT-CYR-SUR-MENTHON;saint cyr sur menthon;Saint-Cyr-sur-Menthon;1380;1343;4.98333;46.2667
1;SERRIERES-SUR-AIN;serrieres sur ain;Serrières-sur-Ain;1450;1404;5.45;46.15
1;NIVOLLET-MONTGRIFFON;nivollet montgriffon;Nivollet-Montgriffon;1230;1277;5.43333;45.9833
1;IZERNORE;izernore;Izernore;1580;1192;5.55;46.2167
1;SAINT-NIZIER-LE-DESERT;saint nizier le desert;Saint-Nizier-le-Désert;1320;1381;5.15;46.05
1;GUEREINS;guereins;Guéreins;1090;1183;4.78333;46.1
1;ILLIAT;illiat;Illiat;1140;1188;4.88333;46.1833
1;LA TRANCLIERE;la trancliere;La Tranclière;1160;1425;5.26667;46.1167
1;SAINT-DIDIER-DE-FORMANS;saint didier de formans;Saint-Didier-de-Formans;1600;1347;4.78333;45.95
1;MERIGNAT;merignat;Mérignat;1450;1242;5.43333;46.0667
1;SAINT-ELOI;saint eloi;Saint-Éloi;1800;1349;5.15;45.9333
1;LA CHAPELLE-DU-CHATELARD;la chapelle du chatelard;La Chapelle-du-Châtelard;1240;1085;5.03333;46.0667
1;SAINT-JEAN-DE-NIOST;saint jean de niost;Saint-Jean-de-Niost;1800;1361;5.21667;45.8333
1;SAVIGNEUX;savigneux;Savigneux;1480;1398;4.85;46
1;NATTAGES;nattages;Nattages;1300;1271;5.76667;45.7333
1;SAINT-BENOIT;saint benoit;Saint-Benoît;1300;1338;5.58333;45.7
1;DOUVRES;douvres;Douvres;1500;1149;5.36667;45.9833
1;FRANCHELEINS;francheleins;Francheleins;1090;1165;4.8;46.0667
1;DORTAN;dortan;Dortan;1590;1148;5.66667;46.3167
1;SAINT-GERMAIN-LES-PAROISSES;saint germain les paroisses;Saint-Germain-les-Paroisses;1300;1358;5.61667;45.7667
1;MIRIBEL;miribel;Miribel;1700;1249;4.95306;45.8245
1;LANCRANS;lancrans;Lancrans;1200;1205;5.83333;46.1333
1;ECHENEVEX;echenevex;Échenevex;1170;1153;6.03333;46.3167
1;SAINT-JEAN-SUR-VEYLE;saint jean sur veyle;Saint-Jean-sur-Veyle;1290;1365;4.91667;46.25
1;BILLIAT;billiat;Billiat;1200;1044;5.78333;46.0667
1;L'ABERGEMENT-DE-VAREY;l abergement de varey;L'Abergement-de-Varey;1640;1002;5.41667;46
1;VILLENEUVE;villeneuve;Villeneuve;1480;1446;4.83667;46.0212
1;VILLARS-LES-DOMBES;villars les dombes;Villars-les-Dombes;1330;1443;5.01667;46
1;THEZILLIEU;thezillieu;Thézillieu;1110;1417;5.6;45.8833
1;SAINT-ETIENNE-SUR-REYSSOUZE;saint etienne sur reyssouze;Saint-Étienne-sur-Reyssouze;1190;1352;5;46.4
1;SOUCLIN;souclin;Souclin;1150;1411;5.41667;45.8667
1;SAINT-JUST;saint just;Saint-Just;1250;1369;5.28;46.1903
1;CIVRIEUX;civrieux;Civrieux;1390;1105;4.88333;45.9167
1;ARGIS;argis;Argis;1230;1017;5.48333;45.9333
1;TALISSIEU;talissieu;Talissieu;1510;1415;5.71667;45.8667
1;BIRIEUX;birieux;Birieux;1330;1045;5.03333;45.95
1;SAINT-JULIEN-SUR-VEYLE;saint julien sur veyle;Saint-Julien-sur-Veyle;1540;1368;4.95;46.2
1;THOIRY;thoiry;Thoiry;1710;1419;5.97973;46.2364
1;LAIZ;laiz;Laiz;1290;1203;4.88333;46.25
1;CRESSIN-ROCHEFORT;cressin rochefort;Cressin-Rochefort;1350;1133;5.76667;45.7667
1;SAINT-CHAMP;saint champ;Saint-Champ;1300;1341;5.73333;45.7833
1;SAINT-GEORGES-SUR-RENON;saint georges sur renon;Saint-Georges-sur-Renon;1400;1356;5.03333;46.1
1;LANTENAY;lantenay;Lantenay;1430;1206;5.53333;46.05
1;VERNOUX;vernoux;Vernoux;1560;1433;5.11667;46.4833
1;CORMARANCHE-EN-BUGEY;cormaranche en bugey;Cormaranche-en-Bugey;1110;1122;5.6;45.95
1;SAINTE-EUPHEMIE;sainte euphemie;Sainte-Euphémie;1600;1353;4.78333;45.9667
1;BEAUPONT;beaupont;Beaupont;1270;1029;5.26667;46.4
1;BRENS;brens;Brens;1300;1061;5.69473;45.7187
1;RAMASSE;ramasse;Ramasse;1250;1317;5.35;46.2
1;DIVONNE-LES-BAINS;divonne les bains;Divonne-les-Bains;1220;1143;6.13333;46.3667
1;LEAZ;leaz;Léaz;1200;1209;5.88333;46.1
1;VILLES;villes;Villes;1200;1448;5.78333;46.0833
1;SAINT-JULIEN-SUR-REYSSOUZE;saint julien sur reyssouze;Saint-Julien-sur-Reyssouze;1560;1367;5.11667;46.4
1;GROSLEE;groslee;Groslée;1680;1182;5.56667;45.7167
1;VANDEINS;vandeins;Vandeins;1660;1429;5.08333;46.2167
1;VERJON;verjon;Verjon;1270;1432;5.35;46.35
1;SAINT-ANDRE-SUR-VIEUX-JONC;saint andre sur vieux jonc;Saint-André-sur-Vieux-Jonc;1240;1336;5.06667;46.15
1;SAINT-ANDRE-D'HUIRIAT;saint andre d huiriat;Saint-André-d'Huiriat;1290;1334;4.91667;46.2167
1;GRILLY;grilly;Grilly;1220;1180;6.11667;46.3333
1;CESSY;cessy;Cessy;1170;1071;6.06667;46.3167
1;ORDONNAZ;ordonnaz;Ordonnaz;1510;1280;5.53333;45.8333
1;VESCOURS;vescours;Vescours;1560;1437;5.03333;46.4667
1;MEILLONNAS;meillonnas;Meillonnas;1370;1241;5.35;46.25
1;GEOVREISSET;geovreisset;Géovreisset;1100;1171;5.6;46.25
1;CEYZERIEU;ceyzerieu;Ceyzérieu;1350;1073;5.73333;45.8333
1;BEARD-GEOVREISSIAT;beard geovreissiat;Béard-Géovreissiat;1460;1170;5.56667;46.2
1;LA BURBANCHE;la burbanche;La Burbanche;1510;1066;5.56667;45.85
1;PERREX;perrex;Perrex;1540;1291;4.98333;46.2333
1;VILLEMOTIER;villemotier;Villemotier;1270;1445;5.31667;46.35
1;JASSERON;jasseron;Jasseron;1250;1195;5.33333;46.2167
1;CORVEISSIAT;corveissiat;Corveissiat;1250;1125;5.48333;46.2333
1;JOURNANS;journans;Journans;1250;1197;5.33333;46.15
1;SERMOYER;sermoyer;Sermoyer;1190;1402;4.98333;46.5
1;CHARIX;charix;Charix;1130;1087;5.68333;46.1833
1;ARBIGNIEU;arbignieu;Arbignieu;1300;1015;5.65;45.7333
1;LEYSSARD;leyssard;Leyssard;1450;1214;5.46667;46.1667
1;SAINT-JEAN-DE-THURIGNEUX;saint jean de thurigneux;Saint-Jean-de-Thurigneux;1390;1362;4.88333;45.95
1;FRANS;frans;Frans;1480;1166;4.78333;45.9833
1;TENAY;tenay;Tenay;1230;1416;5.5;45.9167
1;BAGE-LA-VILLE;bage la ville;Bâgé-la-Ville;1380;1025;4.95;46.3167
1;MONTMERLE-SUR-SAONE;montmerle sur saone;Montmerle-sur-Saône;1090;1263;4.76667;46.0833
1;COURMANGOUX;courmangoux;Courmangoux;1370;1127;5.36667;46.3333
1;BANEINS;baneins;Baneins;1990;1028;4.9;46.1167
1;LAGNIEU;lagnieu;Lagnieu;1150;1202;5.35;45.9
1;ATTIGNAT;attignat;Attignat;1340;1024;5.16667;46.2833
1;SAINT-ANDRE-DE-BAGE;saint andre de bage;Saint-André-de-Bâgé;1380;1332;4.91667;46.3
1;PONT-DE-VAUX;pont de vaux;Pont-de-Vaux;1190;1305;4.93333;46.4333
1;AMBERIEU-EN-BUGEY;amberieu en bugey;Ambérieu-en-Bugey;1500;1004;5.35;45.95
1;PEYZIEUX-SUR-SAONE;peyzieux sur saone;Peyzieux-sur-Saône;1140;1295;4.81667;46.1167
1;CROZET;crozet;Crozet;1170;1135;6.01251;46.2806
1;SEYSSEL;seyssel;Seyssel;1420;1407;5.83194;45.9597
1;BEYNOST;beynost;Beynost;1700;1043;5;45.8333
1;VERSONNEX;versonnex;Versonnex;1210;1435;6.09723;46.3023
1;SAINT-LAURENT-SUR-SAONE;saint laurent sur saone;Saint-Laurent-sur-Saône;1620;1370;4.83333;46.3
1;ARTEMARE;artemare;Artemare;1510;1022;5.7;45.8667
1;MONTRACOL;montracol;Montracol;1310;1264;5.11667;46.1833
1;PARVES;parves;Parves;1300;1286;5.75;45.75
1;PUGIEU;pugieu;Pugieu;1510;1316;5.65;45.8167
1;VIRIEU-LE-GRAND;virieu le grand;Virieu-le-Grand;1510;1452;5.65;45.85
1;SAINT-REMY;saint remy;Saint-Rémy;1310;1385;5.16667;46.1833
1;RANCE;rance;Rancé;1390;1318;4.86667;45.9667
1;GRIEGES;grieges;Grièges;1290;1179;4.85;46.25
1;GRAND-CORENT;grand corent;Grand-Corent;1250;1177;5.43333;46.2
1;OUTRIAZ;outriaz;Outriaz;1430;1282;5.55;46.0667
1;MONTAGNIEU;montagnieu;Montagnieu;1470;1255;5.46667;45.8
1;CHAMPAGNE-EN-VALROMEY;champagne en valromey;Champagne-en-Valromey;1260;1079;5.68333;45.9
1;AMBERIEUX-EN-DOMBES;amberieux en dombes;Ambérieux-en-Dombes;1330;1005;4.9;46
1;LA BOISSE;la boisse;La Boisse;1120;1049;5.03333;45.85
1;PARCIEUX;parcieux;Parcieux;1600;1285;4.81667;45.9167
1;SAINT-DIDIER-D'AUSSIAT;saint didier d aussiat;Saint-Didier-d'Aussiat;1340;1346;5.06667;46.3
1;SAINT-NIZIER-LE-BOUCHOUX;saint nizier le bouchoux;Saint-Nizier-le-Bouchoux;1560;1380;5.15;46.45
1;ARS-SUR-FORMANS;ars sur formans;Ars-sur-Formans;1480;1021;4.81667;45.9833
1;ANGLEFORT;anglefort;Anglefort;1350;1010;5.80833;45.9167
1;CORLIER;corlier;Corlier;1110;1121;5.5;46.0333
1;FERNEY-VOLTAIRE;ferney voltaire;Ferney-Voltaire;1210;1160;6.11667;46.25
1;SAINT-MAURICE-DE-REMENS;saint maurice de remens;Saint-Maurice-de-Rémens;1500;1379;5.28333;45.95
1;CHATILLON-LA-PALUD;chatillon la palud;Châtillon-la-Palud;1320;1092;5.25;45.9667
1;SAINT-SULPICE;saint sulpice;Saint-Sulpice;1340;1387;5.04167;46.3203
1;SAINT-BOIS;saint bois;Saint-Bois;1300;1340;5.63333;45.7
1;VIRIGNIN;virignin;Virignin;1300;1454;5.71667;45.7167
1;PREMILLIEU;premillieu;Prémillieu;1110;1311;5.56667;45.8667
1;GENOUILLEUX;genouilleux;Genouilleux;1090;1169;4.78333;46.1167
1;REYSSOUZE;reyssouze;Reyssouze;1190;1323;4.91667;46.4333
1;COLLONGES;collonges;Collonges;1550;1109;5.9;46.1333
1;SAINT-GERMAIN-DE-JOUX;saint germain de joux;Saint-Germain-de-Joux;1130;1357;5.73333;46.1833
1;BREGNIER-CORDON;bregnier cordon;Brégnier-Cordon;1300;1058;5.61667;45.65
1;SAINT-MARTIN-LE-CHATEL;saint martin le chatel;Saint-Martin-le-Châtel;1310;1375;5.11667;46.2833
1;MARIGNIEU;marignieu;Marignieu;1300;1234;5.71667;45.8
1;LES NEYROLLES;les neyrolles;Neyrolles;1130;1274;5.63333;46.1333
1;SULIGNAT;sulignat;Sulignat;1400;1412;4.96667;46.1667
1;BENY;beny;Bény;1370;1038;5.28333;46.3333
1;INJOUX-GENISSIAT;injoux genissiat;Injoux-Génissiat;1200;1189;5.78333;46.05
1;CHANAY;chanay;Chanay;1420;1082;5.78333;46
1;CHATILLON-SUR-CHALARONNE;chatillon sur chalaronne;Châtillon-sur-Chalaronne;1400;1093;4.96667;46.1167
1;FARGES;farges;Farges;1550;1158;5.91667;46.1667
1;SAINT-ALBAN;saint alban;Saint-Alban;1450;1331;5.45;46.1
1;CURTAFOND;curtafond;Curtafond;1310;1140;5.08333;46.2667
1;VIRIAT;viriat;Viriat;1440;1451;5.21667;46.25
1;BELLEYDOUX;belleydoux;Belleydoux;1130;1035;5.76667;46.25
1;BAGE-LE-CHATEL;bage le chatel;Bâgé-le-Châtel;1380;1026;4.93333;46.3
1;SAINTE-OLIVE;sainte olive;Sainte-Olive;1330;1382;4.93333;46.0167
1;SAINT-GENIS-SUR-MENTHON;saint genis sur menthon;Saint-Genis-sur-Menthon;1380;1355;5.01667;46.2833
1;DOMSURE;domsure;Domsure;1270;1147;5.3;46.4167
1;CHAVANNES-SUR-SURAN;chavannes sur suran;Chavannes-sur-Suran;1250;1095;5.41667;46.2667
1;PRIAY;priay;Priay;1160;1314;5.28333;46
1;PEYRIEU;peyrieu;Peyrieu;1300;1294;5.67751;45.6767
1;LALLEYRIAT;lalleyriat;Lalleyriat;1130;1204;5.71667;46.15
1;SERGY;sergy;Sergy;1630;1401;6;46.25
1;SAINT-MARTIN-DU-FRENE;saint martin du frene;Saint-Martin-du-Frêne;1430;1373;5.55;46.1333
1;SAINT-MAURICE-DE-BEYNOST;saint maurice de beynost;Saint-Maurice-de-Beynost;1700;1376;4.96667;45.8333
1;SERVAS;servas;Servas;1240;1405;5.16667;46.1333
1;CUZIEU;cuzieu;Cuzieu;1300;1141;5.67445;45.8192
1;JAYAT;jayat;Jayat;1340;1196;5.11667;46.3667
1;LAVOURS;lavours;Lavours;1350;1208;5.76667;45.8
1;CHEVROUX;chevroux;Chevroux;1190;1102;4.95;46.3833
1;POLLIEU;pollieu;Pollieu;1350;1302;5.75;45.8
1;BELIGNEUX;beligneux;Béligneux;1360;1032;5.11667;45.8667
1;BRENAZ;brenaz;Brénaz;1260;1059;5.71667;45.95
1;BENONCES;benonces;Bénonces;1470;1037;5.48333;45.8333
1;SAINT-JEAN-LE-VIEUX;saint jean le vieux;Saint-Jean-le-Vieux;1640;1363;5.38917;46.0284
1;BEAUREGARD;beauregard;Beauregard;1480;1030;4.75139;46.002
1;OYONNAX;oyonnax;Oyonnax;1100;1283;5.66667;46.25
1;MIONNAY;mionnay;Mionnay;1390;1248;4.93333;45.9
1;GERMAGNAT;germagnat;Germagnat;1250;1172;5.45;46.3167
1;COLIGNY;coligny;Coligny;1270;1108;5.35;46.3833
1;SIMANDRE-SUR-SURAN;simandre sur suran;Simandre-sur-Suran;1250;1408;5.41667;46.2167
1;L'ABERGEMENT-CLEMENCIAT;l abergement clemenciat;L'Abergement-Clémenciat;1400;1001;4.91667;46.15
1;LESCHEROUX;lescheroux;Lescheroux;1560;1212;5.15;46.4
1;ORNEX;ornex;Ornex;1210;1281;6.1;46.2833
1;DOMMARTIN;dommartin;Dommartin;1380;1144;4.99167;46.3417
1;LOMPNAS;lompnas;Lompnas;1680;1219;5.51667;45.8
1;BETTANT;bettant;Bettant;1500;1041;5.36667;45.9333
1;ARMIX;armix;Armix;1510;1019;5.58333;45.85
1;FEILLENS;feillens;Feillens;1570;1159;4.88333;46.3333
1;CHAVORNAY;chavornay;Chavornay;1510;1097;5.7;45.8833
1;CHALLEX;challex;Challex;1630;1078;5.96667;46.1833
1;VONGNES;vongnes;Vongnes;1350;1456;5.71667;45.8167
1;MAGNIEU;magnieu;Magnieu;1300;1227;5.71667;45.7833
1;GROISSIAT;groissiat;Groissiat;1810;1181;5.6;46.2167
1;DOMPIERRE-SUR-CHALARONNE;dompierre sur chalaronne;Dompierre-sur-Chalaronne;1400;1146;4.9;46.1333
1;MONTLUEL;montluel;Montluel;1120;1262;5.05;45.85
1;LE POIZAT;le poizat;Le Poizat;1130;1300;5.7;46.15
1;HOSTIAZ;hostiaz;Hostiaz;1110;1186;5.53333;45.9
1;MONTANGES;montanges;Montanges;1200;1257;5.8;46.1667
1;SAINTE-JULIE;sainte julie;Sainte-Julie;1150;1366;5.28333;45.8833
1;BEY;bey;Bey;1290;1042;4.85;46.2167
1;SONTHONNAX-LA-MONTAGNE;sonthonnax la montagne;Sonthonnax-la-Montagne;1580;1410;5.53333;46.2333
1;MEZERIAT;mezeriat;Mézériat;1660;1246;5.03333;46.2333
1;BELLIGNAT;bellignat;Bellignat;1810;1031;5.61667;46.25
1;SAINT-MARCEL;saint marcel;Saint-Marcel;1390;1371;4.98723;45.9487
1;BELLEY;belley;Belley;1300;1034;5.68333;45.7667
1;CORBONOD;corbonod;Corbonod;1420;1118;5.81667;45.95
1;NEYRON;neyron;Neyron;1700;1275;4.93223;45.8148
1;SAINT-PAUL-DE-VARAX;saint paul de varax;Saint-Paul-de-Varax;1240;1383;5.13333;46.1
1;PRESSIAT;pressiat;Pressiat;1370;1312;5.38333;46.3333
1;CHAZEY-BONS;chazey bons;Chazey-Bons;1300;1098;5.68333;45.8
1;SERVIGNAT;servignat;Servignat;1560;1406;5.06667;46.4333
1;MARLIEUX;marlieux;Marlieux;1240;1235;5.06667;46.0667
1;ANDERT-ET-CONDON;andert et condon;Andert-et-Condon;1300;1009;5.65;45.8
1;HAUTECOURT-ROMANECHE;hautecourt romaneche;Hautecourt-Romanèche;1250;1184;5.41667;46.1583
1;CROTTET;crottet;Crottet;1620;1134;4.9;46.2833
1;DRUILLAT;druillat;Druillat;1160;1151;5.31667;46.0667
1;DOMPIERRE-SUR-VEYLE;dompierre sur veyle;Dompierre-sur-Veyle;1240;1145;5.2;46.0667
1;PEROUGES;perouges;Pérouges;1800;1290;5.18333;45.9
1;RIGNIEUX-LE-FRANC;rignieux le franc;Rignieux-le-Franc;1800;1325;5.18333;45.9333
1;GIRON;giron;Giron;1130;1174;5.76667;46.2333
1;CERDON;cerdon;Cerdon;1450;1068;5.46667;46.0833
1;CRUZILLES-LES-MEPILLAT;cruzilles les mepillat;Cruzilles-lès-Mépillat;1290;1136;4.88333;46.2167
1;LELEX;lelex;Lélex;1410;1210;5.95;46.3
1;LHOPITAL;lhopital;Lhôpital;1420;1215;5.77834;46.0217
1;SEGNY;segny;Ségny;1170;1399;6.08333;46.3
