"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"Port Lazo/Bilfot_12/07/2014_Vincent Trémel_2";;"Non";;"Praire";"espèce sans maille";40;"Réponse ancienne valeur";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Vincent Trémel_3";;"Non";;"Praire";"espèce sans maille";42;"Réponse incorrecte ou NSP";"Oui";"Anatomique (phalange, largeur de paume, pouce…)";;;;"Oui";;;;;;;;"Oui";"Panneau d'information/affichage";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Vincent Trémel_4";;"Non";;"Praire";"espèce sans maille";40;"Réponse ancienne valeur";"Non";"Aucun outil";;;;"Oui";;;;;;;;"Oui";"Panneau d'information/affichage | Professionnels du tourisme";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Vincent Trémel_5";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;;;;;;;;;"Oui";"Panneau d'information/affichage";"Oui"
"Port Lazo/Bilfot_15/06/2014_Franck Delisle_1";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;"Bigorneau";"Oui";;;"Réponse correcte";;;;;"Oui";"Campagne de sensibilisation | Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies  | Médias (journaux, radios, tv)";"Non renseigné"
"Port Lazo/Bilfot_15/06/2014_Franck Delisle_2";;"Non";;"Bouquet commun";"espèce sans maille";30;"Réponse ancienne valeur";"Oui";"Artisanal";"Marque engin de pêche";;"Palourdes";"Oui";;;;;;;;"Oui";"Panneau d'information/affichage";"Non renseigné"
"Port Lazo/Bilfot_15/06/2014_Olivier Massard_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_15/06/2014_Olivier Massard_2";;"Non";;"Bouquet commun";"espèce sans maille";50;"Réponse correcte";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Oui";"Campagne de sensibilisation | Panneau d'information/affichage";"Non renseigné"
"Port Lazo/Bilfot_15/06/2014_Olivier Massard_3";;"Non";;"Etrille";"espèce sans maille";50;"Réponse ancienne valeur";"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Port Lazo/Bilfot_15/06/2014_Olivier Massard_4";;"Non";;"Palourdes";"espèce sans maille";40;"Réponse incorrecte ou NSP";"Oui";"Artisanal";"Marque engin de pêche";;;"Ne sait pas";;;;;;;;"Oui";"Annuaire des marées";"Non renseigné"
"Port Lazo/Bilfot_15/06/2014_Olivier Massard_5";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Panneau d'information/affichage | Annuaire des marées";"Non"
"Port Lazo/Bilfot_19/05/2015_Franck Delisle_1";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_19/05/2015_Franck Delisle_2";;"Non renseigné";;;"espèce sans maille";;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
