"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
429009;"2019-08-19-GONB-FRE-005";429010;"Golfe Normand Breton";"GONB_09A";"Portbail";"15:00";10;;;8;2;;"Non renseigné";;;"";
429011;"2019-08-02-ECOT-FRE-322";429012;"Est Cotentin";"ECOT_04";"Du Couperon au Havre de Houlvi";"18:26";11;;;11;;;"Non renseigné";;;"";
429013;"2019-07-31-ECOT-FRE-004";429014;"Est Cotentin";"ECOT_22";"Barfleur";"15:30";1;;;1;;;"Non renseigné";;;"";
429015;"2019-08-02-ECOT-FRE-323";429016;"Est Cotentin";"ECOT_22";"Barfleur";"17:15";20;;;20;;;"Non renseigné";;;"";
429019;"2019-12-11-GONB-FRE-001";429020;"Golfe Normand Breton";"GONB_02M";"Pointe du Grouin à la Pointe de la Chaine";"12:00";0;;;;;;"Non renseigné";;;"";
429100;"2020-01-12-EGMP-FRE-001";429101;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_148";"Boyardville";"11:30";15;;;11;;4;"Non";;;"";
429120;"2020-01-15-EPMO-FRE-001";429123;"Estuaires Picards et Mer d'Opale";"EPMO_19";"Equihen";"08:45";0;;;0;;;"Non renseigné";;;"";
429124;"2020-01-15-EPMO-FRE-003";429128;"Estuaires Picards et Mer d'Opale";"EPMO_33";"Portel-Equihen";"08:45";0;;;0;;;"Non renseigné";;;"";
429129;"2020-01-15-EPMO-FRE-004";429133;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"08:45";0;;;0;;;"Non renseigné";;;"";
429134;"2020-01-15-EPMO-FRE-005";429138;"Estuaires Picards et Mer d'Opale";"EPMO_08";"Boulogne-sur-Mer";"08:45";0;;;0;;;"Non renseigné";;;"";
429139;"2020-01-15-EPMO-FRE-006";429143;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"08:45";0;;;0;;;"Non renseigné";;;"";
429144;"2020-01-15-EPMO-FRE-007";429146;"Estuaires Picards et Mer d'Opale";"EPMO_32";"Pointe aux oies";"08:45";1;1;0;1;0;0;"Non renseigné";;;"";
429147;"2020-01-15-EPMO-FRE-008";429151;"Estuaires Picards et Mer d'Opale";"EPMO_01";"Ambleteuse";"08:45";0;;;0;;;"Non renseigné";;;"";
429152;"2020-01-13-EPMO-FRE-001";429155;"Estuaires Picards et Mer d'Opale";"EPMO_19";"Equihen";"07:45";0;;;0;;;"Non renseigné";;;"";
429156;"2020-01-13-EPMO-FRE-003";429160;"Estuaires Picards et Mer d'Opale";"EPMO_33";"Portel-Equihen";"07:45";0;;;0;;;"Non renseigné";;;"";
429161;"2020-01-13-EPMO-FRE-004";429165;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"07:45";0;;;0;;;"Non renseigné";;;"";
429166;"2020-01-13-EPMO-FRE-005";429170;"Estuaires Picards et Mer d'Opale";"EPMO_08";"Boulogne-sur-Mer";"07:45";0;;;0;;;"Non renseigné";;;"";
429171;"2020-01-13-EPMO-FRE-006";429175;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"07:45";0;;;0;;;"Non renseigné";;;"";
429176;"2020-01-13-EPMO-FRE-007";429180;"Estuaires Picards et Mer d'Opale";"EPMO_01";"Ambleteuse";"07:45";0;;;0;;;"Non renseigné";;;"";
