"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
403726;"2018-08-27-GONB-FRE-019";403727;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra22";"Banche";"18:15";"total de pêcheurs à pied de loisir";0;;;"";
403726;"2018-08-27-GONB-FRE-019";403728;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra17";"Grève de Garel";"18:15";"total de pêcheurs à pied de loisir";1;1;0;"";"1 pêcheur sur vasière avec râteau court"
403726;"2018-08-27-GONB-FRE-019";403729;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra23";"Grève de Morlet";"18:25";"total de pêcheurs à pied de loisir";1;;;"Autres pêches de loisir";"1 pêcheur sur vasière (râteau) + 1 pêcheur appâts (vers marins)"
403726;"2018-08-27-GONB-FRE-019";403730;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra21";"La Herviais";"18:15";"total de pêcheurs à pied de loisir";0;;;"";
403738;"2019-08-02-EGMP-FRE-004";403743;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_239-240";"Fier d'Ars Gâtines/ Ours";"EGMP_240";"Fier d'Ars entre le chenal d'Ars et le russon des ours";"12:30";"total de pêcheurs à pied de loisir";123;;;"Engins motorisés nautiques";
403738;"2019-08-02-EGMP-FRE-004";403745;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_239-240";"Fier d'Ars Gâtines/ Ours";"EGMP_239";"Fier d'Ars entre Russon des ours et la Lasse";"12:20";"total de pêcheurs à pied de loisir";46;;;"";
403746;"2018-08-27-GONB-FRE-026";403747;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra31";"La Ville Ger";"19:00";"total de pêcheurs à pied de loisir";0;;;"Pêche à pied professionnelle";"3 pêcheurs pro (palourdes)"
403746;"2018-08-27-GONB-FRE-026";403748;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra27";"Port Saint-Jean";"19:00";"total de pêcheurs à pied de loisir";0;;;"Autres pêches de loisir";"1 pêcheur appâts (vers marins) (sur ile aux oiseaux)"
403952;"2018-09-05-GONB-FRE-023";403954;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra18";"Pointe du Puits";"11:45";"total de pêcheurs à pied de loisir";0;;;"";
403952;"2018-09-05-GONB-FRE-023";403953;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra13";"Le Valion";"11:40";"total de pêcheurs à pied de loisir";0;;;"";
403952;"2018-09-05-GONB-FRE-023";403955;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra12";"Val ès Bouillis";"11:45";"total de pêcheurs à pied de loisir";0;;;"";
