"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-04-16-EGMP-SEN-004";"2018-04-16_EGMP_116_356786";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-04-16-EGMP-SEN-006";"2018-04-16_EGMP_116_356792";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Remarque ressource/environnement : presque plus d'étrilles"
"2018-04-16-EGMP-SEN-007";"2018-04-16_EGMP_116_356798";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement 
Conflits d'usage"
"2018-04-16-EGMP-SEN-008";"2018-04-16_EGMP_116_356804";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Discussion sur la réserve et les autorités"
"2018-04-16-EGMP-SEN-009";"2018-04-16_EGMP_116_356810";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Remarque ressource/environnement: perception des changements écologiques "
"2018-04-16-EGMP-SEN-010";"2018-04-16_EGMP_116_356816";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement"
"2018-04-16-EGMP-SEN-011";"2018-04-16_EGMP_116_356822";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement
État sanitaire"
"2018-04-16-EGMP-SEN-012";"2018-04-16_EGMP_116_356828";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement"
"2018-04-16-EGMP-SEN-013";"2018-04-16_EGMP_116_356834";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement
Tri effectué "
"2018-04-16-EGMP-SEN-014";"2018-04-16_EGMP_116_356840";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement"
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356847";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Moyen";;"Réglementation";"Peu réceptifs."
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356853";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Pêche uniquement à l'étale."
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356859";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement "
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356865";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement et conflits d'usage"
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356871";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement "
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356877";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Moyen";;"Réglementation";
"2018-05-23_BERR_03_356942";"2018-05-23-BERR-SEN-001";"VITROLLES";;;"en séjour sur une commune";;;;;;;;"F";1985;"5_Employés";"F";2011;"8-82-84_Elèves, étudiants";"Récolte non vérifiée";"Bon";"Oui";"";
"2018-05-23_BERR_03_356942";"2018-05-23-BERR-SEN-001";"VITROLLES";;;"en séjour sur une commune";;;;;;;;"F";1985;"5_Employés";"F";2015;"8-82-84_Elèves, étudiants";"Récolte non vérifiée";"Bon";"Oui";"";
"2018-05-23_BERR_02_356951";"2018-05-23-BERR-SEN-003";"ST MAXIMIN LA STE BAUME";;;"pour la journée";;;;;;;;"M";1985;"3_Cadres et professions intellectuelles supérieures";"F";2012;"8-82-84_Elèves, étudiants";"Récolte conforme";"Bon";"Oui";"";
"2018-05-23_BERR_02_356951";"2018-05-23-BERR-SEN-003";"ST MAXIMIN LA STE BAUME";;;"pour la journée";;;;;;;;"M";1985;"3_Cadres et professions intellectuelles supérieures";"F";1986;;"Récolte conforme";"Bon";"Oui";"";
"2018-05-23_BERR_02_356951";"2018-05-23-BERR-SEN-003";"ST MAXIMIN LA STE BAUME";;;"pour la journée";;;;;;;;"M";1985;"3_Cadres et professions intellectuelles supérieures";"F";2010;"8-82-84_Elèves, étudiants";"Récolte conforme";"Bon";"Oui";"";
"2018-05-23_BERR_02_356963";"2018-05-23-BERR-SEN-004";"TRETS";;;"pour la journée";;;;;;;;"M";1962;"0_Non Renseigné";"M";1970;;"Récolte conforme";"Bon";"Oui";"";
"2018-05-23_BERR_02_356971";"2018-05-23-BERR-SEN-005";"CHATEAUNEUF LES MARTIGUES";;;"en séjour sur une commune";;;;;;;;"F";1982;"5_Employés";"F";1963;;"Récolte conforme";"Bon";"Oui";"";
"2018-05-23_BERR_02_356971";"2018-05-23-BERR-SEN-005";"CHATEAUNEUF LES MARTIGUES";;;"en séjour sur une commune";;;;;;;;"F";1982;"5_Employés";"M";1963;;"Récolte conforme";"Bon";"Oui";"";
"2018-05-23_BERR_02_356971";"2018-05-23-BERR-SEN-005";"CHATEAUNEUF LES MARTIGUES";;;"en séjour sur une commune";;;;;;;;"F";1982;"5_Employés";"M";1983;;"Récolte conforme";"Bon";"Oui";"";
"2018-05-23_BERR_02_356981";"2018-05-23-BERR-SEN-006";"MARTIGUES";;;"en séjour sur une commune";;;;;;;;"F";1981;"3_Cadres et professions intellectuelles supérieures";"F";1984;"4_Professions Intermédiaires";"Tri partiel";"Bon";"Oui";"";
"2018-05-24_BERR_01_356989";"2018-05-24-BERR-SEN-001";"GIGNAC LA NERTHE";;;"en séjour sur une commune";;;;;;;;"F";1957;"0_Non Renseigné";"M";1954;"7_Retraités";"Récolte conforme";"Bon";"Oui";"";
"2018-05-24_BERR_01_356989";"2018-05-24-BERR-SEN-001";"GIGNAC LA NERTHE";;;"en séjour sur une commune";;;;;;;;"F";1957;"0_Non Renseigné";"M";1957;"7_Retraités";"Récolte conforme";"Bon";"Oui";"";
"2018-05-24-BERR-SEN-003";"2018-05-24_BERR_01_356998";"MARSEILLE 01";;;"pour la journée";;;;;;;;"M";1954;"7_Retraités";;;;"Récolte conforme";"Bon";"Oui";"";
"2018-05-24-BERR-SEN-004";"2018-05-24_BERR_01_357005";"MARSEILLE 06";;;"pour la journée";;;;;;;;"M";1988;"4_Professions Intermédiaires";;;;"Récolte non vérifiée";"Bon";"Oui";"";
"2018-05-23_BERR_03_357012";"2018-05-23-BERR-SEN-007";"SALON DE PROVENCE";;;"pour la journée";;;;;;;;"M";1988;"6_Ouvriers";"M";2008;"8-82-84_Elèves, étudiants";"Tri partiel";"Bon";"Oui";"";
"2018-05-23_BERR_03_357012";"2018-05-23-BERR-SEN-007";"SALON DE PROVENCE";;;"pour la journée";;;;;;;;"M";1988;"6_Ouvriers";"M";1998;"8-82-84_Elèves, étudiants";"Tri partiel";"Bon";"Oui";"";
"2018-05-23_BERR_03_357012";"2018-05-23-BERR-SEN-007";"SALON DE PROVENCE";;;"pour la journée";;;;;;;;"M";1988;"6_Ouvriers";"M";2005;"8-82-84_Elèves, étudiants";"Tri partiel";"Bon";"Oui";"";
"2018-05-23_BERR_03_357012";"2018-05-23-BERR-SEN-007";"SALON DE PROVENCE";;;"pour la journée";;;;;;;;"M";1988;"6_Ouvriers";"F";1977;;"Tri partiel";"Bon";"Oui";"";
"2018-05-23_BERR_03_357012";"2018-05-23-BERR-SEN-007";"SALON DE PROVENCE";;;"pour la journée";;;;;;;;"M";1988;"6_Ouvriers";"M";1977;;"Tri partiel";"Bon";"Oui";"";
"2018-06-26-BERR-SEN-001";"2018-06-26_BERR_03_357028";"MARTIGUES";;;"pour la journée";;;;;;;;"M";1947;"7_Retraités";;;;"Récolte conforme";"Bon";"Oui";"";
"2018-06-26_BERR_03_357041";"2018-06-26-BERR-SEN-003";"EGUILLES";;;"pour la journée";;;;;;;;"F";1958;"7_Retraités";"F";1959;"5_Employés";"Récolte conforme";"Bon";"Oui";"";""
"2018-06-26_BERR_03_357041";"2018-06-26-BERR-SEN-003";"EGUILLES";;;"pour la journée";;;;;;;;"F";1958;"7_Retraités";"M";1946;"7_Retraités";"Récolte conforme";"Bon";"Oui";"";""
"2018-07-02_BERR_01_357076";"2018-07-02-BERR-SEN-001";"CABRIES";;;"pour la journée";;;;;;;;"M";1948;"7_Retraités";"F";1946;"7_Retraités";"Récolte conforme";"Bon";"Oui";"";
"2018-07-02_BERR_02_357091";"2018-07-02-BERR-SEN-003";"LES PENNES MIRABEAU";;;"en séjour sur une commune";;;;;;;;"F";1981;"2-22_Commerçants et assimilés";"M";1967;"5_Employés";"Tri partiel";"Bon";"Oui";"";
"2018-06-29-GONB-SEN-001";"2018-06-29_GONB_01A_357103";;;;"en séjour sur une commune";;;;"Non renseigné";;;;;;"0_Non Renseigné";;;;"Récolte non vérifiée";"Refus";"Non";"";
"2018-05-14-EGMP-SEN-001";"2018-05-14_EGMP_148_357135";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement"
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357141";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357147";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement"
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357153";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement"
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357159";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Ressource/environnement"
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357165";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357171";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357177";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"+ ressource/environnement et conflits d'usage"
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357183";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357189";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357195";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357201";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-001";"2018-05-15_EGMP_137_357207";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357213";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357219";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357225";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357231";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357237";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Moyen";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357243";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357250";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"+ ressource/environnement et conflits d'usage"
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357256";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357262";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"+ État sanitaire "
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357269";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"+ Conflits d'usage et état sanitaire"
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357280";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Toutes thématiques évoquées. "
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357287";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"+ État sanitaire"
"2018-05-16-EGMP-SEN-011";"2018-05-16_EGMP_121_357298";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357304";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357310";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357316";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357322";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357328";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357334";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357340";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357346";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
