"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357177";"";"Coques | Couteaux";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357183";"";"Etoiles de mer et autres échinodermes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357189";"";"Couteaux";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357195";"";"Couteaux";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357201";"";"Palourdes | Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-001";"2018-05-15_EGMP_137_357207";"";"Palourdes | Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357213";"";"Palourdes | Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357219";"";"Palourdes | Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357225";"";"Palourdes | Coques | Couteaux";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357231";"";"Couteaux";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357237";"";"Palourdes | Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357243";"";"Moules | Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357250";"";"Palourdes | Moules";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357256";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357262";"";"Palourdes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357269";"";"Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357280";"";"Palourdes | Coques | Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-15-EGMP-SEN-030";"2018-05-15_EGMP_137_357287";"";"Palourdes | Coques | Mytilidé";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-011";"2018-05-16_EGMP_121_357298";"";"Crevettes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357304";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357310";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357316";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357322";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357328";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357334";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357340";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357346";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-020";"2018-05-16_EGMP_121_357352";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357358";"";"Crabes comestibles | Crevettes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357364";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357370";"";"Crabes comestibles | Crevettes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357376";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357384";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-EGMP-SEN-060";"2018-05-16_EGMP_121_357392";"";"Crabes comestibles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
