"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_5";;;75;90;2;"Non";;;;"Palourdes";185.10999999999999;10;;;174.51;;;;
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_5";;;75;90;2;"Non";;;;"Praire";264.53999999999996;10;;;250.82;;;;
"Arcouest_08/09/2014_Franck Delisle_1";;;180;180;1;"Non";;;;"Praire";1300.0;71;;;650.0;;;;
"Arcouest_08/09/2014_Franck Delisle_1";;;180;180;1;"Non";;;;"Palourdes";19.39;1;;;19.39;;;;
"Arcouest_08/09/2014_Franck Delisle_2";;;50;75;2;"Non";;;;"Palourdes";29.990000000000002;2;;;19.39;;;;
"Arcouest_08/09/2014_Franck Delisle_2";;;50;75;2;"Non";;;;"Crabe vert d'Europe, crabe enragé";481.85;5;;;;;;;
"Arcouest_08/09/2014_Franck Delisle_2";;;50;75;2;"Non";;;;"Praire";81.72;6;;;;;;;
"Arcouest_08/09/2014_Franck Delisle_3";;;120;135;2;"Non";;;;"Praire";721.04;32;;;557.6;;;;
"Arcouest_08/09/2014_Franck Delisle_3";;;120;135;2;"Non";;;;"Palourdes";135.73000000000002;7;;;135.73000000000002;;;;
"Arcouest_08/09/2014_Franck Delisle_4";;;15;75;1;"Oui";;;
"Arcouest_08/09/2014_Franck Delisle_5";;;95;180;4;"Non";;;;"Crabe vert d'Europe, crabe enragé";289.11;3;;;;;;;
"Arcouest_08/09/2014_Franck Delisle_5";;;95;180;4;"Non";;;;"Coques";9.41;1;;;9.41;;;;
"Arcouest_08/09/2014_Franck Delisle_6";;;;;1;"Non";;;;"Huître creuse";0.16;2;;;160.0;;;;
"Arcouest_08/09/2014_Franck Delisle_6";;;;;1;"Non";;;;"Praire";1340.0;48;;;1340.0;;;;
"Arcouest_08/09/2014_Franck Delisle_7";;;;;;"Oui";;;
"Arcouest_12/07/2014_Jean-Pierre Guillosson_1";;;40;120;2;"Non";;;;"Palourdes";290.85;15;;;290.85;;;;
"Arcouest_12/07/2014_Jean-Pierre Guillosson_1";;;40;120;2;"Non";;;;"Praire";557.6;20;;;557.6;;;;
"Arcouest_12/07/2014_Jean-Pierre Guillosson_2";;;60;120;5;"Non";;;;"Etrille";1139.4;10;;;1139.4;;;;
"Arcouest_12/07/2014_Jean-Pierre Guillosson_3";;;60;90;1;"Non";;;;"Palourdes";;;;;;;;;
"Arcouest_12/07/2014_Jérémy Allain_1";;;;;;"Oui";;;
"Arcouest_12/07/2014_Jérémy Allain_2";;;80;180;3;"Oui";;;
"Arcouest_12/07/2014_Jérémy Allain_3";;;;;1;"Non";;;;"Palourdes";31.799999999999994;3;;;;;;;
"Arcouest_12/07/2014_Jérémy Allain_3";;;;;1;"Non";;;;"Praire";122.58;9;;;;;;;
