"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"2018-08-16-GONB-SEN-029";"2018-08-16_GONB_02B_363719";;60;80;1;"Non";;;;"Amande de mer";;1;;"Non renseignée";;;;"Non renseignée";
"2018-08-16-GONB-SEN-030";"2018-08-16_GONB_02B_363728";;40;60;1;"Non";;;;"Praire";;14;;"Non renseignée";;;;"Non renseignée";
"2018-08-16-GONB-SEN-030";"2018-08-16_GONB_02B_363728";;40;60;1;"Non";;;;"Spisule, Mactre solide";;15;;"Non renseignée";;;;"Non renseignée";
"2018-07-02-GONB-SEN-004";"2018-07-02_GONB_02C_363736";;60;60;1;"Non";;;;"Bouquet";;5;;"Non renseignée";;;;"Non renseignée";
"2018-06-14-GONB-SEN-041";"2018-06-14_GONB_02C_363745";;90;90;2;;;;;"Palourdes";;40;;"Non renseignée";;;;"Non renseignée";
"2018-06-14-GONB-SEN-041";"2018-06-14_GONB_02C_363745";;90;90;2;;;;;"Coques";;4;;"Non renseignée";;;;"Non renseignée";
"2018-06-13-GONB-SEN-052";"2018-06-13_GONB_02C_363753";;30;60;2;;;;;"Palourdes";;2;;"Non renseignée";;2.0;;"Non renseignée";
"2018-06-13-GONB-SEN-052";"2018-06-13_GONB_02C_363753";;30;60;2;;;;;"Araignée de mer";;3;;"Non renseignée";;0.0;;"Non renseignée";
"2018-06-13-GONB-SEN-052";"2018-06-13_GONB_02C_363753";;30;60;2;;;;;"Bouquet";;1;;"Non renseignée";;1.0;;"Non renseignée";
"2018-06-13-GONB-SEN-052";"2018-06-13_GONB_02C_363753";;30;60;2;;;;;"Moules";;1;;"Non renseignée";;1.0;;"Non renseignée";
"2018-06-13-GONB-SEN-053";"2018-06-13_GONB_02C_363763";;30;120;1;"Oui";;;
"2018-08-16-GONB-SEN-031";"2018-08-16_GONB_02C_363769";;10;70;1;;;;;"Couteaux";;7;;"Non renseignée";;;;"Non renseignée";
"2018-05-16-GONB-SEN-055";"2018-05-16_GONB_02C_363776";;20;110;4;"Non";;;;"Spisule, Mactre solide";;23;;"Non renseignée";;23.0;;"Non renseignée";
"2018-08-14-GONB-SEN-052";"2018-08-14_GONB_02C_363783";;120;140;2;;;;;"Bouquet";;5;;"Non renseignée";;;;"Non renseignée";
"2018-08-10-GONB-SEN-045";"2018-08-10_GONB_02F_363793";;60;70;2;"Non";;;;"Coques";;65;;"Non renseignée";;65.0;;"Non renseignée";
"2018-08-10-GONB-SEN-045";"2018-08-10_GONB_02F_363793";;60;70;2;"Non";;;;"Praire";;1;;"Non renseignée";;1.0;;"Non renseignée";
"2018-08-10-GONB-SEN-045";"2018-08-10_GONB_02F_363793";;60;70;2;"Non";;;;"Palourdes";;65;;"Non renseignée";;65.0;;"Non renseignée";
"2018-08-10-GONB-SEN-048";"2018-08-10_GONB_02F_363823";;60;60;1;;;;;"Coques";;8;;"Non renseignée";;8.0;;"Non renseignée";
"2018-08-10-GONB-SEN-048";"2018-08-10_GONB_02F_363823";;60;60;1;;;;;"Palourdes";;30;;"Non renseignée";;30.0;;"Non renseignée";
"2018-07-16-GONB-SEN-047";"2018-07-16_GONB_02F_363831";;30;30;2;"Non";;;;"Palourdes";;6;;"Non renseignée";;6.0;;"Non renseignée";
