"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2019-03-21-ORNE-SEN-049";"2019-03-21_ORNE_04_393878";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-050";"2019-03-21_ORNE_05_394563";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-051";"2019-03-21_ORNE_05_394569";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-052";"2019-03-21_ORNE_05_394575";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-054";"2019-03-21_ORNE_05_394587";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-055";"2019-03-21_ORNE_05_394593";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-056";"2019-03-21_ORNE_05_394599";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-057";"2019-03-21_ORNE_05_394605";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-059";"2019-03-21_ORNE_04_394612";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-060";"2019-03-21_ORNE_04_394618";;;;;;;"Oui mais pas aujourd'hui";"Commerce";"Commerce";"Non renseigné";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-061";"2019-03-21_ORNE_04_394624";;;;;;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-062";"2019-03-21_ORNE_04_394630";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-063";"2019-03-21_ORNE_04_397232";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-064";"2019-03-21_ORNE_04_397244";;;;;;;"Non";"Aucun outil";"Aucun outil";"Non";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-065";"2019-03-21_ORNE_04_397251";;;;;;;"Oui mais pas aujourd'hui";;;"Non renseigné";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-066";"2019-03-21_ORNE_04_397263";;;;;;;"Non";"Aucun outil";"Aucun outil";"Non";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-067";"2019-03-21_ORNE_04_397269";;;;;;;"Non";"Aucun outil";"Aucun outil";"Non";;;;;;;;;;;"";
"2019-04-18-ORNE-SEN-001";"2019-04-18_ORNE_02_397314";;;;;;;"Non";"Aucun outil";"Aucun outil";"Non renseigné";;;;;;;;;;;"";
"2019-04-18-ORNE-SEN-003";"2019-04-18_ORNE_02_397320";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2019-04-18-ORNE-SEN-004";"2019-04-18_ORNE_02_397326";;;;;;;"Non";"Aucun outil";"Aucun outil";"Non renseigné";;;;;;;;;;;"";
"2019-04-18-ORNE-SEN-005";"2019-04-18_ORNE_02_397332";;;;;;;"Non";"Aucun outil";"Aucun outil";"Non renseigné";;;;;;;;;;;"";
