"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-07-16_LEGD_00_360455";"2018-07-16-LEGD-SEN-028";"CARHAIX PLOUGUER";;;"en séjour sur une commune";"KERLOUAN";3;"Camping";"Non";2.0;"Non, secondaire";"Non, secondaire";"F";1977;"4_Professions Intermédiaires";"F";1950;"7_Retraités";"Tri complet";"Bon";"Oui";"";"Auraient probablement refait du tri (enfants récoltaient beaucoup de petites)"
"2018-07-16_LEGD_00_360455";"2018-07-16-LEGD-SEN-028";"CARHAIX PLOUGUER";;;"en séjour sur une commune";"KERLOUAN";3;"Camping";"Non";2.0;"Non, secondaire";"Non, secondaire";"F";1977;"4_Professions Intermédiaires";"F";2011;;"Tri complet";"Bon";"Oui";"";"Auraient probablement refait du tri (enfants récoltaient beaucoup de petites)"
"2018-04-19_GUER_3B_360464";"2018-04-19-GUER-SEN-004";"LA CHAPELLE LAUNAY";;;"pour la journée";;;;"Non renseigné";;;;"F";1949;"7_Retraités";"M";1948;"7_Retraités";"Récolte conforme";"Bon";"Oui";"";" C'est bien ce que vous faites."
"2018-04-19_GUER_3B_360477";"2018-04-19-GUER-SEN-006";"ST NAZAIRE";;;"pour la journée";;;;"Non renseigné";;;;"M";1954;"7-76-78_Anciens ouvriers";"F";1957;"7-76-77_Anciens employés";"Récolte conforme";"Bon";"Oui";"";""
"2018-04-19_GUER_3B_360491";"2018-04-19-GUER-SEN-006";"LE CROISIC";;;"pour la journée";;;;"Non renseigné";;;;"F";1954;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"M";1951;"0_Non Renseigné";"Tri complet";"Bon";"Oui";"";"  Manque d'infos sur les coques. "
"2018-04-19_GUER_3B_360491";"2018-04-19-GUER-SEN-006";"LE CROISIC";;;"pour la journée";;;;"Non renseigné";;;;"F";1954;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"F";2006;"8-82-84_Elèves, étudiants";"Tri complet";"Bon";"Oui";"";"  Manque d'infos sur les coques. "
"2018-04-19_GUER_3B_360491";"2018-04-19-GUER-SEN-006";"LE CROISIC";;;"pour la journée";;;;"Non renseigné";;;;"F";1954;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"M";2005;"8-82-84_Elèves, étudiants";"Tri complet";"Bon";"Oui";"";"  Manque d'infos sur les coques. "
"2018-04-19-GUER-SEN-010";"2018-04-19_GUER_3B_360563";"SEVRIER";;;"en séjour sur une commune";"PORNICHET";6;;;;;;"M";1959;"5_Employés";;;;"Récolte conforme";"Bon";"Oui";"";
"2018-06-06_GUER_3B_360583";"2018-06-06-GUER-SEN-002";"BATZ SUR MER";;;"en séjour sur une commune";;;;;;;;"F";1949;"0_Non Renseigné";"F";;;"Récolte non vérifiée";"Bon";"Moyen";"";
"2018-06-06_GUER_3B_360583";"2018-06-06-GUER-SEN-002";"BATZ SUR MER";;;"en séjour sur une commune";;;;;;;;"F";1949;"0_Non Renseigné";"M";;;"Récolte non vérifiée";"Bon";"Moyen";"";
