"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"2018-07-16-LEGD-SEN-026";"2018-07-16_LEGD_00_360440";"Sables vaseux";"Bivalves fouisseurs | Coques";"Rateau (générique)";"";"Oui";"Oui";"Non";"1985";"Oui";"";"Juin | Juil | Aou | Sep";"12";"Principale (>60%)";"";"Coques";"";"";"N'importe quel jour de la semaine | Lorsque la météo favorable";"";"Ne Sait pas";"Oui";"Finistère";"Baie de Goulven- Keremma";"Qualité des produits | Paysage et bon air";"En bateau : Ligne"
"2018-07-16-LEGD-SEN-027";"2018-07-16_LEGD_00_360448";"Sables vaseux";"Coques | Crevettes";"Rateau (générique) | Epuisette (générique)";"";"Oui";"Oui";"Non";"1960";"Oui";"";"Fev | Juil | Aou";"5";"Principale (>60%)";"";"Coques";"";"";"N'importe quel jour de la semaine | Uniquement en week-end/vacances";"80";"";"Oui";"Finistère";"Rade de Brest (Hôpital-Camfrout)";"Plaisir : aspect ludique | Convivialité";"Aucune autre pêche"
"2018-07-16-LEGD-SEN-028";"2018-07-16_LEGD_00_360455";"Sables vaseux";"Coques";"Rateau (générique) | Jouets de plage";"";"Oui";"Oui";"Oui";"";"Non";"";"";"";"Première fois";"";"Coques";"";"";"Uniquement en week-end/vacances";"";"Ne Sait pas";"Non";"";"";"Plaisir : aspect ludique | Convivialité";"Aucune autre pêche"
"2018-04-19-GUER-SEN-004";"2018-04-19_GUER_3B_360464";"Sables battus";"Palourdes | Coque commune";"Griffe à dents";"";"Ne Sait Pas";"Non";"Non";"1978";"Oui";"";"Avr | Sep | Oct";"56";"";"";"Moule | Huitres";"";"";"Uniquement aux grandes marées";"90";"";"Oui";"Loire-Atlantique | Morbihan";" 56  Pénestin
44 La Plaine sur mer";"Paysage et bon air";"Aucune autre pêche"
"2018-04-19-GUER-SEN-006";"2018-04-19_GUER_3B_360477";"Sables vaseux";"Bivalves fouisseurs";"Griffe (générique)";"";"Oui";"Non Renseigné";"Non";"1965";"Oui";"";"Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov";"30";"";"";"Moule | Crevettes";"";"";"Uniquement aux grandes marées";"75";"";"Oui";"Loire-Atlantique";"  St Brévin
Tharon";"Qualité des produits | Plaisir : aspect ludique";"En bateau : Ligne"
"2018-04-19-GUER-SEN-006";"2018-04-19_GUER_3B_360491";"Sables battus";"Palourdes | Coques";"Griffe à dents";"";"Oui";"Oui";"Non Renseigné";"";"Oui";"";"";"4";"";"";"";"";"";"N'importe quel jour de la semaine | Uniquement aux grandes marées";"80";"";"";"";"";"Plaisir : aspect ludique";"Aucune autre pêche"
"2018-04-19-GUER-SEN-010";"2018-04-19_GUER_3B_360563";"Sables battus";"Coques";"Au doigt";"";"Oui";"Oui";"Non Renseigné";"";"Non";"1.0";"";"1";"";"";"";"";"";"Uniquement en week-end/vacances | Lorsque la météo favorable";"21";"";"";"";"";"Paysage et bon air";"Eaux douces"
"2018-06-06-GUER-SEN-002";"2018-06-06_GUER_3B_360583";"Sables vaseux";"Palourdes | Coques";"Griffe à dents";"";"Oui";"Non";"Non Renseigné";"";"Oui";"";"";"8";"";"";"";"";"";"N'importe quel jour de la semaine";"90";"";"";"";"";"Plaisir : aspect ludique | Convivialité";"En bateau : Ligne | Du  bord : Ligne"
"2018-07-16-GONB-SEN-044";"2018-07-16_GONB_01A_361325";"Sables vaseux";"Coque commune";"Rateau à coques";"";"Oui";"Non Renseigné";"Non";"1976";"Oui";"";"Juil";"1";"Seule pratique";"";"";"";"";"Uniquement en week-end/vacances";"";"Ne Sait pas";"Non";"";"";"Plaisir : aspect ludique";"Aucune autre pêche"
"2018-07-16-GONB-SEN-045";"2018-07-16_GONB_01A_361333";"Sables vaseux";"Coque commune";"Griffe (générique) | Au doigt";"";"Oui";"Oui";"Non";"1968";"Oui";"";"";"2";"Occasionnelle (>5%)";"";"Coque commune | Araignée de mer";"";"";"Uniquement aux grandes marées";"100";"";"Oui";"Morbihan";"Damgan, Pénerf";"Plaisir : aspect ludique | Convivialité";"En bateau : Engins dormants"
"2018-06-13-GUER-SEN-044";"2018-06-13_GUER_3B_361406";"Sables vaseux";"Palourdes | Coques";"Au doigt";"";"Oui";"Oui";"";"";"Oui";"";"";"12";"";"";"";"";"";"Uniquement aux grandes marées";"80";"";"Non Renseigné";"";"";"Paysage et bon air | Plaisir : aspect ludique";"En bateau : Ligne"
"2018-06-13-GUER-SEN-045";"2018-06-13_GUER_3B_361397";"Sables vaseux";"Palourdes | Coques";"Griffe à dents";"";"Oui";"Oui";"Non Renseigné";"";"Oui";"";"";"5";"";"";"";"";"";"Uniquement aux grandes marées";"90";"";"";"";"";"Paysage et bon air | Plaisir : aspect ludique";"En bateau : Ligne"
"2018-06-13-GUER-SEN-045";"2018-06-13_GUER_3B_361420";"";"Palourdes | Coques";"Griffe à dents";"";"Oui";"Oui";"Non Renseigné";"";"Oui";"";"";"1";"";"";"";"";"";"Uniquement aux grandes marées";"80";"";"";"";"";"Gratuité des produits | Plaisir : aspect ludique";"En bateau : Ligne | En bateau : Engins dormants"
"2018-06-13-GUER-SEN-046";"2018-06-13_GUER_3B_361428";"Sables vaseux";"Palourdes | Coques";"Griffe à dents";"";"Oui";"Oui";"Non Renseigné";"";"Oui";"";"";"3";"";"";"";"";"";"Uniquement aux grandes marées";"90";"";"";"";"";"Gratuité des produits | Plaisir : aspect ludique";"Aucune autre pêche"
"2018-07-13-GONB-SEN-029";"2018-07-13_GONB_01A_361991";"Sables vaseux";"Palourdes";"Rateau (générique)";"";"Oui";"Oui";"Non";"1958";"Oui";"";"Avr | Mai | Juin | Juil | Aou";"4";"Régulière (>25%)";"";"Coques";"2700.0";"";"Uniquement aux grandes marées | Lorsque la météo favorable";"80";"";"Oui";"";"Grèves d'en bas Plévenon et Saint Jacut ";"Plaisir : aspect ludique | Passer le temps, s'occuper";"Aucune autre pêche"
"2018-07-13-GONB-SEN-032";"2018-07-13_GONB_01A_362161";"Sables vaseux";"Coques";"Petits outils de sondage";"";"Oui";"Oui";"Non";"1965";"Oui";"";"Juil | Aou";"2";"Seule pratique";"";"";"";"";"Uniquement aux grandes marées";"";"Ne Sait pas";"Non";"";"";"Paysage et bon air | Convivialité";"Aucune autre pêche"
