"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"Arcouest_12/07/2014_Jean-Pierre Guillosson_3";"";"";"";"Pas d'engin";"";"";"Non Renseigné";"Non";"1961";"Oui";"";"Juin | Juil | Aou | Sep";"2";"Principale (>60%)";"";"";"";"";"Uniquement aux grandes marées | Lorsque la météo favorable";"95";"";"Non";"";"";"Paysage et bon air";"En bateau : Ligne"
"Arcouest_12/07/2014_Jérémy Allain_1";"";"";"Praire";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_12/07/2014_Jérémy Allain_2";"";"";"Crevettes";"Epuisette (générique)";"";"";"Non";"Non";"";"Oui";"";"";"6";"Principale (>60%)";"";"";"";"";"N'importe quel jour de la semaine";"85";"";"Non Renseigné";"";"";"Paysage et bon air | Convivialité";"Aucune autre pêche"
"Arcouest_12/07/2014_Jérémy Allain_3";"";"";"Praire";"";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_12/07/2014_Jérémy Allain_4";"";"";"Palourdes croisées";"Pas d'engin";"";"";"Non Renseigné";"Non";"";"Oui";"";"Avr | Juil | Aou | Sep | Nov";"10";"Principale (>60%)";"";"";"";"";"N'importe quel jour de la semaine";"75";"";"Non";"";"";"Qualité des produits | Paysage et bon air | Plaisir : aspect ludique | Habitude/Tradition";"En bateau : Ligne"
"Arcouest_12/07/2014_Jérémy Allain_5";"";"";"Palourdes croisées | Praire";"";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_12/07/2014_Olivier Massard_1";"";"";"Praire | Coque commune | Bigorneau";"Fourche";"";"Oui";"Non";"Non";"1964";"Oui";"";"Juil | Aou | Sep";"1";"Principale (>60%)";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées | Lorsque la météo favorable";"90";"";"Non";"";"";"";"Aucune autre pêche"
"Arcouest_12/07/2014_Olivier Massard_2";"";"Flaques rocheuses";"Crevettes";"Epuisette (générique)";"";"";"Non Renseigné";"Non";"1961";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"24";"Régulière (>25%)";"";"";"";"";"Uniquement aux grandes marées";"95";"";"Oui";"";"Bréhat";"Qualité des produits | Paysage et bon air | Habitude/Tradition";"En bateau : Ligne | Du  bord : Ligne | Du  bord : Chasse sous-marine"
"Arcouest_12/07/2014_Olivier Massard_3";"";"";"Palourdes croisées | Praire";"Rateau  ";"";"Ne Sait Pas";"Non";"Non";"1964";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"12";"Principale (>60%)";"";"";"";"";"N'importe quel jour de la semaine | Uniquement aux grandes marées";"90";"";"Oui";"";"Penvénan. Plouézec > Port Lazo. Trébeurden > Pors Mabo";"Paysage et bon air";"En bateau : Ligne | Du  bord : Ligne | Eaux douces"
"Arcouest_12/07/2014_Olivier Massard_4";"";"Flaques rocheuses";"Etrille | Tourteau | Crevettes";"Epuisette (générique) | Crochet/croc";"";"";"Non Renseigné";"Non";"1964";"Oui";"";"Jan | Fev | Mar | Juil | Aou | Sep";"5";"Régulière (>25%)";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées";"100";"";"Oui";"";"Paimpol > île St-Rion";"Paysage et bon air";"Aucune autre pêche"
"Arcouest_12/07/2014_Olivier Massard_5";"";"";"Praire";"Pas d'engin";"";"";"Non";"Non";"2009";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"24";"Principale (>60%)";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées";"90";"";"Non";"";"";"Paysage et bon air | Plaisir : aspect ludique";"Aucune autre pêche"
"Arcouest_13/07/2014_Franck Delisle_1";"";"";"Couteau gaine";"Au sel";"";"";"Non Renseigné";"Non";"1957";"Oui";"";"Juin | Juil | Aou | Sep";"10";"Principale (>60%)";"";"";"";"";"N'importe quel jour de la semaine";"70";"";"Oui";"";"Beauport";"Paysage et bon air | Plaisir : aspect ludique";"Eaux douces"
"Arcouest_13/07/2014_Franck Delisle_2";"";"Flaques rocheuses";"Crevettes";"Epuisette (générique)";"";"";"Non";"Non";"2004";"Oui";"";"Juil | Aou | Sep";"6";"Seule pratique";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées";"95";"";"Oui";"";"Loguivy";"Paysage et bon air";"Aucune autre pêche"
"Arcouest_13/07/2014_Franck Delisle_3";"";"Flaques rocheuses";"Crevettes";"Epuisette (générique) | Crochet/croc";"";"";"Non";"Non";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_13/07/2014_Franck Delisle_4";"";"";"Palourdes croisées | Coque commune";"Pelle et bêche (générique)";"";"";"Non";"Non";"2006";"Non";"0.25";"";"1";"";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées";"98";"";"Oui";"";"Plougrescant";"Qualité des produits | Paysage et bon air | Plaisir : aspect ludique";"En bateau : Ligne"
"Arcouest_13/07/2014_Franck Delisle_5";"";"Flaques rocheuses";"Crevettes";"Epuisette (générique)";"";"";"Non Renseigné";"Non";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_13/07/2014_Franck Delisle_6";"";"";"Praire";"Rateau  ";"";"";"Non Renseigné";"Non";"";"Oui";"";"Juil | Aou | Sep";"8";"Seule pratique";"";"";"";"";"Uniquement aux grandes marées";"95";"";"Oui";"";"5 (Gouville-Sur-Mer)";"Paysage et bon air";"Aucune autre pêche"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_1";"";"";"Praire | Etrille";"Rateau  ";"";"";"Non Renseigné";"Non";"1964";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"10";"Régulière (>25%)";"";"";"";"";"N'importe quel jour de la semaine | Uniquement aux grandes marées";"100";"";"Oui";"";"Port Lazo. Pointe de Guilben";"Qualité des produits | Plaisir : aspect ludique";"Aucune autre pêche"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_2";"";"";"";"Rateau  ";"";"Ne Sait Pas";"Non";"Non";"1966";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"";"Principale (>60%)";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées";"100";"";"Non";"";"";"Paysage et bon air";"Aucune autre pêche"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_3";"";"";"Praire | Etrille";"Rateau   | Crochet/croc";"";"";"Non Renseigné";"Non";"1966";"Oui";"";"Juil | Aou | Sep";"1";"Principale (>60%)";"";"";"";"";"Uniquement en week-end/vacances | Uniquement aux grandes marées";"95";"";"Non";"";"";"Paysage et bon air | Plaisir : aspect ludique";"Aucune autre pêche"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_4";"";"Flaques rocheuses";"Crevettes";"Epuisette (générique)";"";"";"Non Renseigné";"Non";"1964";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"";"Régulière (>25%)";"";"";"";"";"N'importe quel jour de la semaine | Uniquement aux grandes marées";"90";"";"Non";"";"";"Qualité des produits | Plaisir : aspect ludique";"Du  bord : Ligne"
